id_juego,titulo,generos,plataforma,pegi,precio,desarrolladora,tipo
1,Elden Ring,RPG;Accion;Mundo abierto,PC,16,59.99,FromSoftware,Singleplayer
2,Cyberpunk 2077,RPG;Accion;Mundo abierto,PC,18,49.99,CD Projekt RED,Singleplayer
3,The Witcher 3,RPG;Aventura;Mundo abierto,PC,18,39.99,CD Projekt RED,Singleplayer
4,Baldur's Gate 3,RPG;Estrategia;Aventura,PC,18,59.99,Larian Studios,Singleplayer
5,Minecraft,Sandbox;Aventura;Construccion,PC,7,29.99,Mojang,Multiplayer
6,Valorant,Shooter;Competitivo;Accion,PC,16,0.00,Riot Games,Multiplayer
7,League of Legends,MOBA;Estrategia;Competitivo,PC,12,0.00,Riot Games,Multiplayer
8,Stardew Valley,Simulacion;Gestion;Relax,PC,7,14.99,ConcernedApe,Singleplayer
9,Hades,Roguelike;Accion;Aventura,PC,12,24.99,Supergiant Games,Singleplayer
10,Red Dead Redemption 2,Aventura;Accion;Mundo abierto,PC,18,59.99,Rockstar Games,Singleplayer
11,God of War,Accion;Aventura;Narrativo,PS5,18,69.99,Santa Monica Studio,Singleplayer
12,Marvel's Spider-Man 2,Accion;Aventura;Mundo abierto,PS5,16,69.99,Insomniac Games,Singleplayer
13,Gran Turismo 7,Conduccion;Simulacion;Deportes,PS5,3,69.99,Polyphony Digital,Multiplayer
14,FIFA 25,Deportes;Futbol;Competitivo,PS5,3,69.99,EA Sports,Multiplayer
15,The Last of Us Part II,Aventura;Accion;Terror,PS5,18,49.99,Naughty Dog,Singleplayer
16,Zelda Breath of the Wild,Aventura;Mundo abierto;Exploracion,Switch,12,59.99,Nintendo,Singleplayer
17,Zelda Tears of the Kingdom,Aventura;Mundo abierto;Exploracion,Switch,12,69.99,Nintendo,Singleplayer
18,Animal Crossing,Simulacion;Relax;Gestion,Switch,3,59.99,Nintendo,Singleplayer
19,Mario Kart 8 Deluxe,Conduccion;Competitivo;Arcade,Switch,3,49.99,Nintendo,Multiplayer
20,Super Smash Bros Ultimate,Lucha;Accion;Competitivo,Switch,12,59.99,Nintendo,Multiplayer
21,Fortnite,Battle Royale;Shooter;Competitivo,PC,12,0.00,Epic Games,Multiplayer
22,Apex Legends,Shooter;Battle Royale;Competitivo,PC,16,0.00,Respawn Entertainment,Multiplayer
23,Dark Souls 3,RPG;Accion;Aventura,PC,16,39.99,FromSoftware,Singleplayer
24,Resident Evil 4 Remake,Terror;Accion;Aventura,PC,18,59.99,Capcom,Singleplayer
25,Hollow Knight,Metroidvania;Aventura;Accion,PC,7,14.99,Team Cherry,Singleplayer
26,NBA 2K25,Deportes;Baloncesto;Simulacion,PS5,3,69.99,Visual Concepts,Multiplayer
27,EA Sports FC 24,Deportes;Futbol;Competitivo,PS5,3,39.99,EA Sports,Multiplayer
28,Rocket League,Deportes;Conduccion;Competitivo,PS5,3,0.00,Psyonix,Multiplayer
29,Street Fighter 6,Lucha;Accion;Competitivo,PS5,12,59.99,Capcom,Multiplayer
30,Hogwarts Legacy,Aventura;RPG;Mundo abierto,PS5,12,59.99,Avalanche Software,Singleplayer
31,Astro Bot,Plataformas;Aventura;Familiar,PS5,7,59.99,Team Asobi,Singleplayer
32,Ratchet & Clank Rift Apart,Accion;Aventura;Plataformas,PS5,7,49.99,Insomniac Games,Singleplayer
33,Dragon Age Inquisition,RPG;Aventura;Fantasia,PC,18,39.99,BioWare,Singleplayer
34,Mass Effect Legendary Edition,RPG;Accion;Ciencia ficcion,PC,18,59.99,BioWare,Singleplayer
35,Disco Elysium,RPG;Narrativo;Investigacion,PC,18,39.99,ZA/UM,Singleplayer
36,Divinity Original Sin 2,RPG;Estrategia;Fantasia,PC,16,44.99,Larian Studios,Singleplayer
37,Monster Hunter World,RPG;Accion;Cooperativo,PC,16,29.99,Capcom,Multiplayer
38,Persona 5 Royal,RPG;Narrativo;JRPG,PC,16,59.99,Atlus,Singleplayer
39,Splatoon 3,Shooter;Accion;Competitivo,Switch,7,49.99,Nintendo,Multiplayer
40,Super Mario Odyssey,Plataformas;Aventura;Familiar,Switch,7,49.99,Nintendo,Singleplayer
41,Kirby and the Forgotten Land,Plataformas;Aventura;Familiar,Switch,7,49.99,Nintendo,Singleplayer
42,Metroid Dread,Metroidvania;Accion;Aventura,Switch,12,39.99,Nintendo,Singleplayer
43,Final Fantasy XVI,RPG;Accion;Fantasia,PS5,18,69.99,Square Enix,Singleplayer
44,Helldivers 2,Shooter;Accion;Cooperativo,PS5,18,39.99,Arrowhead Game Studios,Multiplayer
45,No Man's Sky,Aventura;Exploracion;Mundo abierto,PC,7,29.99,Hello Games,Multiplayer
46,Overwatch 2,Shooter;Accion;Competitivo,PC,12,0.00,Blizzard Entertainment,Multiplayer
47,Team Fortress 2,Shooter;Accion;Competitivo,PC,12,0.00,Valve,Multiplayer
48,Paladins,Shooter;Accion;Competitivo,PC,12,0.00,Hi-Rez Studios,Multiplayer
49,Warframe,Accion;Cooperativo;Ciencia ficcion,PC,12,0.00,Digital Extremes,Multiplayer
50,Brawlhalla,Lucha;Accion;Competitivo,PC,7,0.00,Blue Mammoth Games,Multiplayer
51,Destiny 2,Shooter;Accion;Cooperativo,PC,16,0.00,Bungie,Multiplayer
52,Counter-Strike 2,Shooter;Competitivo;Accion,PC,18,0.00,Valve,Multiplayer
