id_usuario,id_juego,valoracion
1,1,5
1,2,4
1,3,5
1,8,4
1,23,5
2,13,4
2,14,5
2,11,4
2,12,5
2,15,3
3,6,5
3,7,4
3,21,5
3,22,4
3,5,3
4,16,5
4,17,5
4,18,4
4,19,4
4,20,3
5,8,5
5,5,4
5,25,5
5,9,4
5,3,3
6,18,5
6,19,5
6,20,4
6,16,4
6,17,4
7,11,5
7,12,5
7,15,5
7,10,4
7,24,4
8,21,5
8,6,5
8,7,4
8,22,5
8,5,3
1,4,5
2,19,4
3,25,4
4,8,3
5,18,4
6,5,4
7,1,4
8,14,2
7,26,4
7,27,5
3,28,4
6,28,5
4,30,4
5,31,5
1,32,4
5,33,4
7,34,5
1,35,5
4,36,4
3,37,4
8,37,3
5,38,5
6,39,4
4,40,5
6,41,5
4,42,4
7,43,5
3,44,4
1,45,4
8,28,5
2,28,4
2,27,5
5,45,4
